,source,sink,demand
0,4408.0,730.0,0.25
1,2136.0,328.0,0.61
2,2169.0,267.0,0.21
3,4500.0,700.0,0.28
4,3508.0,912.0,0.18
5,4303.0,3858.0,0.14
6,4154.0,337.0,0.07
7,1587.0,5397.0,0.07
8,5605.0,22.0,0.05
9,2806.0,6101.0,0.03
10,391.0,995.0,0.05
11,4694.0,4713.0,1.74
12,2219.0,1826.0,0.02
13,1296.0,643.0,2.03
14,553.0,2082.0,0.03
15,151.0,6724.0,0.58
16,1636.0,5785.0,0.05
17,1080.0,3730.0,0.21
18,505.0,632.0,0.93
19,1642.0,2302.0,0.14
20,4653.0,976.0,0.2
21,246.0,2063.0,0.02
22,2145.0,3175.0,0.01
23,5310.0,2559.0,0.03
24,929.0,487.0,0.01
25,525.0,289.0,4.27
26,5785.0,3209.0,0.04
27,4055.0,1668.0,0.05
28,5496.0,3049.0,0.03
29,410.0,5740.0,0.15
30,204.0,3183.0,0.01
31,4675.0,1714.0,0.12
32,2609.0,2593.0,0.5
33,5513.0,987.0,0.14
34,4536.0,1923.0,0.01
35,3012.0,1664.0,0.01
36,4139.0,1511.0,0.92
37,4720.0,736.0,0.27
38,507.0,3656.0,0.03
39,258.0,6203.0,0.05
40,879.0,2052.0,0.19
41,4629.0,5417.0,0.25
42,6054.0,5026.0,0.35
43,523.0,4220.0,0.03
44,3195.0,2878.0,0.12
45,5367.0,388.0,3.89
46,6203.0,4405.0,0.76
47,1503.0,4327.0,0.08
48,6510.0,1467.0,0.09
49,3432.0,399.0,0.75
50,711.0,2649.0,0.01
51,6510.0,3481.0,0.02
52,4645.0,667.0,0.01
53,4405.0,4382.0,1.43
54,4532.0,4721.0,1.65
55,5273.0,1474.0,0.13
56,4838.0,4737.0,1.61
57,2947.0,275.0,1.1
58,4647.0,5875.0,0.21
59,2878.0,3834.0,1.0
60,1197.0,285.0,5.9
61,4792.0,7331.0,0.14
62,2284.0,5570.0,0.24
63,563.0,4427.0,0.01
64,464.0,223.0,0.62
65,1680.0,68.0,0.03
66,444.0,4003.0,0.04
67,566.0,1178.0,0.65
68,727.0,1047.0,1.33
69,5933.0,2564.0,0.25
70,115.0,6036.0,3.6
71,7387.0,410.0,0.09
72,4453.0,3713.0,1.37
73,2184.0,5611.0,0.4
74,313.0,2350.0,0.14
75,4220.0,5852.0,0.09
76,4226.0,3875.0,0.01
77,5795.0,3460.0,0.04
78,316.0,833.0,7.13
79,697.0,4801.0,0.4
80,3054.0,1664.0,0.02
81,5665.0,3570.0,0.07
82,2284.0,3541.0,3.42
83,5392.0,6079.0,0.24
84,2252.0,3329.0,0.03
85,5367.0,5359.0,1.44
86,2614.0,4459.0,0.05
87,362.0,5477.0,1.13
88,5934.0,5388.0,0.98
89,4673.0,1064.0,0.66
90,1474.0,3110.0,0.01
91,5408.0,1944.0,0.11
92,301.0,3314.0,0.01
93,5105.0,5991.0,0.31
94,5767.0,4901.0,1.04
95,2284.0,2507.0,0.24
96,1895.0,977.0,0.03
97,1324.0,3578.0,0.01
98,6130.0,4694.0,4.25
99,4745.0,5857.0,0.07
