,source,sink,demand
0,15.0,17.0,1500.0
1,23.0,3.0,100.0
2,14.0,8.0,400.0
3,10.0,21.0,1200.0
4,12.0,13.0,1300.0
5,23.0,9.0,500.0
6,11.0,7.0,500.0
7,3.0,8.0,200.0
8,23.0,1.0,300.0
9,23.0,7.0,200.0
10,21.0,8.0,400.0
11,24.0,19.0,100.0
12,1.0,13.0,500.0
13,17.0,11.0,1000.0
14,23.0,7.0,200.0
15,12.0,16.0,700.0
16,4.0,13.0,600.0
17,17.0,24.0,300.0
18,20.0,17.0,1700.0
19,22.0,9.0,700.0
20,20.0,7.0,500.0
21,2.0,14.0,100.0
22,18.0,7.0,200.0
23,4.0,5.0,500.0
24,11.0,14.0,1600.0
25,16.0,7.0,1400.0
26,24.0,20.0,400.0
27,8.0,20.0,900.0
28,11.0,6.0,400.0
29,16.0,6.0,900.0
30,14.0,13.0,600.0
31,10.0,24.0,800.0
32,22.0,24.0,1100.0
33,1.0,24.0,100.0
34,4.0,23.0,500.0
35,21.0,6.0,100.0
36,13.0,7.0,400.0
37,9.0,24.0,200.0
38,17.0,15.0,1500.0
39,16.0,8.0,2200.0
40,10.0,3.0,300.0
41,4.0,13.0,600.0
42,20.0,14.0,500.0
43,18.0,14.0,100.0
44,4.0,6.0,400.0
45,21.0,15.0,800.0
46,15.0,18.0,200.0
47,8.0,11.0,800.0
48,23.0,1.0,300.0
49,4.0,17.0,500.0
50,12.0,16.0,700.0
51,20.0,7.0,500.0
52,19.0,1.0,300.0
53,10.0,22.0,2600.0
54,7.0,22.0,500.0
55,13.0,5.0,200.0
56,21.0,24.0,500.0
57,14.0,1.0,300.0
58,8.0,9.0,800.0
59,9.0,11.0,1400.0
60,21.0,7.0,200.0
61,18.0,8.0,300.0
62,7.0,19.0,400.0
63,10.0,11.0,4000.0
64,8.0,9.0,800.0
65,4.0,1.0,500.0
66,7.0,18.0,200.0
67,14.0,16.0,700.0
68,4.0,17.0,500.0
69,11.0,1.0,500.0
70,10.0,20.0,2500.0
71,18.0,1.0,100.0
72,12.0,1.0,200.0
73,9.0,2.0,200.0
74,7.0,19.0,400.0
75,7.0,11.0,500.0
76,1.0,8.0,800.0
77,3.0,14.0,100.0
78,7.0,9.0,600.0
79,9.0,24.0,200.0
80,8.0,4.0,700.0
81,23.0,16.0,500.0
82,4.0,8.0,700.0
83,7.0,17.0,1000.0
84,7.0,22.0,500.0
85,16.0,22.0,1200.0
86,23.0,11.0,1300.0
87,10.0,21.0,1200.0
88,23.0,17.0,600.0
89,7.0,2.0,200.0
90,20.0,6.0,300.0
91,13.0,10.0,1900.0
92,9.0,14.0,600.0
93,12.0,5.0,200.0
94,24.0,20.0,400.0
95,11.0,9.0,1400.0
96,1.0,7.0,500.0
97,22.0,21.0,1800.0
98,6.0,22.0,200.0
99,13.0,1.0,500.0
